url_abs,centro,position,scraped_at
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=13366,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:44+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=13366,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:40:44+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5679,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:45+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5679,FACULTAD DE DERECHO,2,2026-01-16T13:40:45+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16864,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:46+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16864,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:40:46+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6214,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:47+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6214,FACULTAD DE CIENCIAS DEL TRABAJO,2,2026-01-16T13:40:47+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6214,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,3,2026-01-16T13:40:47+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5631,FACULTAD DE COMUNICACIÓN,1,2026-01-16T13:40:48+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3020,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:50+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3020,ESCUELA INTERNACIONAL DE POSGRADO (EIP),2,2026-01-16T13:40:50+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5602,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:51+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5602,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:40:51+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5602,FACULTAD DE DERECHO,3,2026-01-16T13:40:51+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5602,FACULTAD DE MEDICINA,4,2026-01-16T13:40:51+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3051,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:52+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3051,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:40:52+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11994,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:53+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11994,FACULTAD DE DERECHO,2,2026-01-16T13:40:53+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11994,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE EDIFICACIÓN,3,2026-01-16T13:40:53+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2766,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:54+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2766,FACULTAD DE DERECHO,2,2026-01-16T13:40:54+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2766,ESCUELA INTERNACIONAL DE POSGRADO (EIP),3,2026-01-16T13:40:54+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6343,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:55+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6343,FACULTAD DE DERECHO,2,2026-01-16T13:40:55+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6194,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:57+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6194,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:40:57+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6194,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,3,2026-01-16T13:40:57+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6194,"FACULTAD DE ENFERMERÍA, FISIOTERAPIA Y PODOLOGÍA",4,2026-01-16T13:40:57+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12700,FACULTAD DE COMUNICACIÓN,1,2026-01-16T13:40:58+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12700,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:40:58+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12700,FACULTAD DE CIENCIAS DEL TRABAJO,3,2026-01-16T13:40:58+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12700,ESCUELA INTERNACIONAL DE POSGRADO (EIP),4,2026-01-16T13:40:58+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12700,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,5,2026-01-16T13:40:58+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6182,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:59+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3032,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:00+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3032,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:41:00+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3032,FACULTAD DE FARMACIA,3,2026-01-16T13:41:00+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16011,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:01+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14859,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:02+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14859,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:41:02+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14859,ESCUELA INTERNACIONAL DE POSGRADO (EIP),3,2026-01-16T13:41:02+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2784,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:04+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2784,FACULTAD DE DERECHO,2,2026-01-16T13:41:04+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2784,FACULTAD DE CIENCIAS DEL TRABAJO,3,2026-01-16T13:41:04+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3342,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:05+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3342,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:41:05+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5593,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:41:06+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15657,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:08+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15657,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,2,2026-01-16T13:41:08+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15657,FACULTAD DE TURISMO Y FINANZAS,3,2026-01-16T13:41:08+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15657,FACULTAD DE DERECHO,4,2026-01-16T13:41:08+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15657,"FACULTAD DE ENFERMERÍA, FISIOTERAPIA Y PODOLOGÍA",5,2026-01-16T13:41:08+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15657,FACULTAD DE CIENCIAS DEL TRABAJO,6,2026-01-16T13:41:08+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18120,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:41:09+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18120,FACULTAD DE COMUNICACIÓN,2,2026-01-16T13:41:09+00:00
